pathway	pval	padj	log2err	ES	NES	size	leadingEdge	magNES
SELENOCYSTEINE SYNTHESIS%REACTOME%R-HSA-2408557.1	5.07E-09	4.25E-07	0.761460801	-0.631567362	-2.272402242	76	"RPS4X, RPL26L1, RPL27A, RPS2, RPL27, RPL12, RPL24, RPL6, RPL13A, RPL39, RPL31, RPS17, RPS14, RPS3, RPS19, RPL19, RPL13, RPL35A, RPS9, RPL5, RPL10A, RPS27A, RPL30, RPLP0, RPL11, RPL15, RPS8, RPL38, RPS6, RPS13, RPL23, RPL7A, RPL37, RPS10, RPSA, RPL17, RPS18, RPS29, RPS15, RPS16, RPL22, RPS27, RPL37A, RPL3, RPS26, RPS15A, RPL26, RPL23A, RPL14, RPL4, RPL8"	2.272402242
GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME%R-HSA-72706.1	7.42E-10	1.06E-07	0.801215575	-0.601120943	-2.252988887	96	"RPS4X, RPL26L1, RPL27A, EIF1AX, RPS2, RPL27, RPL12, RPL24, RPL6, RPL13A, RPL39, EIF2S3, RPL31, RPS17, RPS14, RPS3, RPS19, RPL19, RPL13, RPL35A, RPS9, RPL5, RPL10A, RPS27A, RPL30, RPLP0, RPL11, RPL15, RPS8, RPL38, RPS6, RPS13, RPL23, RPL7A, RPL37, EIF3G, RPS10, RPSA, RPL17, EIF3F, RPS18, RPS29, RPS15, EIF3E, RPS16, EIF3I, EIF3M, RPL22, RPS27, RPL37A, RPL3, RPS26, RPS15A, RPL26, RPL23A, RPL14, RPL4, RPL8, EIF3L, RPL18A"	2.252988887
ESTABLISHMENT OF PROTEIN LOCALIZATION TO ENDOPLASMIC RETICULUM%GOBP%GO:0072599	1.36E-09	1.62E-07	0.788186811	-0.603169472	-2.250653975	93	"RPS4X, RPL26L1, RPL27A, SRP19, SPCS2, RPS2, RPL27, RPL12, RPL24, RPL6, RPL13A, RPL39, RPL31, RPS17, RPS14, RPS3, RPS19, RPL19, RPL13, RPL35A, SPCS1, RPS9, RPL5, RPL10A, RPS27A, RPL30, RPLP0, SRP14, RPL11, RPL15, RPS8, RPL38, RPS6, RPS13, RPL23, RPL7A, RPL37, RPS10, RPSA, SRP9, RPL17, SRPRB, RPS18, RPS29, RPS15, RPS16, RPL22, RPS27, RPL37A, RPL3, RPS26, RPS15A, RPL26, RPL23A, RPL14"	2.250653975
PROTEIN LOCALIZATION TO ENDOPLASMIC RETICULUM%GOBP%GO:0070972	3.26E-09	3.58E-07	0.77493903	-0.59258472	-2.240974691	101	"RPS4X, RPL26L1, RPL27A, SRP19, SPCS2, RPS2, RPL27, RPL12, RPL24, RPL6, RPL13A, RPL39, RPL31, RPS17, RPS14, RPS3, RPS19, RPL19, RPL13, RPL35A, SPCS1, RPS9, RPL5, RPL10A, RPS27A, RPL30, RPLP0, SRP14, RPL11, RPL15, RPS8, RPL38, RPS6, RPS13, RPL23, RPL7A, RPL37, RPS10, RPSA, SRP9, RPL17, SRPRB, RPS18, RPS29, RPS15, OS9, RPS16, RPL22, RPS27, RPL37A, RPL3, RPS26, RPS15A, RPL26, RPL23A, RPL14"	2.240974691
3' -UTR-MEDIATED TRANSLATIONAL REGULATION%REACTOME%R-HSA-157279.1	6.71E-09	4.85E-07	0.761460801	-0.592599236	-2.219866148	95	"RPS4X, RPL26L1, RPL27A, EIF1AX, RPS2, RPL27, RPL12, RPL24, RPL6, RPL13A, RPL39, EIF2S3, RPL31, RPS17, RPS14, RPS3, RPS19, RPL19, RPL13, RPL35A, RPS9, RPL5, RPL10A, RPS27A, RPL30, RPLP0, RPL11, RPL15, RPS8, RPL38, RPS6, RPS13, RPL23, RPL7A, RPL37, EIF3G, RPS10, RPSA, RPL17, EIF3F, RPS18, RPS29, RPS15, EIF3E, RPS16, EIF3I, EIF3M, RPL22, RPS27, RPL37A, RPL3, RPS26, RPS15A, RPL26, RPL23A, RPL14, RPL4, RPL8, EIF3L, RPL18A"	2.219866148
L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME DATABASE ID RELEASE 56%156827	6.71E-09	4.85E-07	0.761460801	-0.592599236	-2.219866148	95	"RPS4X, RPL26L1, RPL27A, EIF1AX, RPS2, RPL27, RPL12, RPL24, RPL6, RPL13A, RPL39, EIF2S3, RPL31, RPS17, RPS14, RPS3, RPS19, RPL19, RPL13, RPL35A, RPS9, RPL5, RPL10A, RPS27A, RPL30, RPLP0, RPL11, RPL15, RPS8, RPL38, RPS6, RPS13, RPL23, RPL7A, RPL37, EIF3G, RPS10, RPSA, RPL17, EIF3F, RPS18, RPS29, RPS15, EIF3E, RPS16, EIF3I, EIF3M, RPL22, RPS27, RPL37A, RPL3, RPS26, RPS15A, RPL26, RPL23A, RPL14, RPL4, RPL8, EIF3L, RPL18A"	2.219866148
NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME DATABASE ID RELEASE 56%975956	1.47E-08	8.40E-07	0.747739663	-0.609182913	-2.214032201	80	"RPS4X, RPL26L1, RPL27A, RPS2, RPL27, RPL12, RPL24, RPL6, RPL13A, RPL39, RPL31, RPS17, RPS14, RPS3, RPS19, RPL19, RPL13, RPL35A, RPS9, RPL5, RPL10A, RPS27A, RPL30, RPLP0, RPL11, RPL15, RPS8, RPL38, RPS6, RPS13, RPL23, RPL7A, RPL37, RPS10, RPSA, RPL17, RPS18, RPS29, RPS15, RPS16, RPL22, RPS27, RPL37A, RPL3, RPS26, RPS15A, RPL26, RPL23A, RPL14, RPL4, RPL8"	2.214032201
CAP-DEPENDENT TRANSLATION INITIATION%REACTOME%R-HSA-72737.1	3.78E-09	3.59E-07	0.761460801	-0.58630652	-2.208154376	100	"RPS4X, RPL26L1, RPL27A, EIF1AX, RPS2, RPL27, RPL12, RPL24, RPL6, RPL13A, RPL39, EIF2S3, RPL31, RPS17, RPS14, RPS3, RPS19, RPL19, RPL13, RPL35A, RPS9, RPL5, RPL10A, RPS27A, RPL30, RPLP0, RPL11, RPL15, RPS8, RPL38, RPS6, RPS13, RPL23, RPL7A, RPL37, EIF3G, RPS10, RPSA, RPL17, EIF3F, RPS18, RPS29, RPS15, EIF3E, RPS16, EIF3I, EIF3M, RPL22, RPS27, RPL37A, RPL3, RPS26, RPS15A, RPL26, RPL23A, RPL14, RPL4, RPL8, EIF3L, RPL18A"	2.208154376
EUKARYOTIC TRANSLATION INITIATION%REACTOME%R-HSA-72613.1	3.78E-09	3.59E-07	0.761460801	-0.58630652	-2.208154376	100	"RPS4X, RPL26L1, RPL27A, EIF1AX, RPS2, RPL27, RPL12, RPL24, RPL6, RPL13A, RPL39, EIF2S3, RPL31, RPS17, RPS14, RPS3, RPS19, RPL19, RPL13, RPL35A, RPS9, RPL5, RPL10A, RPS27A, RPL30, RPLP0, RPL11, RPL15, RPS8, RPL38, RPS6, RPS13, RPL23, RPL7A, RPL37, EIF3G, RPS10, RPSA, RPL17, EIF3F, RPS18, RPS29, RPS15, EIF3E, RPS16, EIF3I, EIF3M, RPL22, RPS27, RPL37A, RPL3, RPS26, RPS15A, RPL26, RPL23A, RPL14, RPL4, RPL8, EIF3L, RPL18A"	2.208154376
SELENOAMINO ACID METABOLISM%REACTOME%R-HSA-2408522.1	2.28E-08	1.21E-06	0.733761988	-0.584093124	-2.172604009	91	"RPS4X, RPL26L1, RPL27A, RPS2, RPL27, RPL12, RPL24, RPL6, RPL13A, RPL39, HNMT, RPL31, RPS17, RPS14, RPS3, RPS19, RPL19, RPL13, RPL35A, RPS9, RPL5, RPL10A, RPS27A, RPL30, RPLP0, RPL11, RPL15, RPS8, RPL38, RPS6, RPS13, RPL23, RPL7A, RPL37, RPS10, RPSA, RPL17, RPS18, RPS29, RPS15, AHCY, RPS16, EEF1E1, RPL22, RPS27, RPL37A, RPL3, RPS26, RPS15A, RPL26, RPL23A, RPL14"	2.172604009
INFLUENZA VIRAL RNA TRANSCRIPTION AND REPLICATION%REACTOME%R-HSA-168273.1	6.80E-09	4.85E-07	0.761460801	-0.565850546	-2.159931175	106	"RPS4X, RPL26L1, RPL27A, NUP214, RPS2, RPL27, RPL12, RPL24, RPL6, RPL13A, RPL39, RPL31, RPS17, RPS14, RPS3, RPS19, GTF2F2, RPL19, RPL13, RPL35A, POLR2F, RPS9, POLR2G, RPL5, RPL10A, RPS27A, RPL30, RPLP0, RAE1, RPL11, RPL15, RPS8, RPL38, RPS6, RPS13, RPL23, RPL7A, RPL37, POLR2C, RPS10, RPSA, RPL17, RPS18, RPS29, RPS15, POLR2H, RPS16, RPL22, RPS27, RPL37A, RPL3, RPS26, RPS15A, RPL26, RPL23A, RPL14, RPL4, NUP37, RPL8"	2.159931175
PROTEIN TARGETING TO MEMBRANE%GOBP%GO:0006612	1.27E-08	7.88E-07	0.747739663	-0.548252667	-2.130422708	121	"RPS4X, RPL26L1, RPL27A, SRP19, SSR2, RPS2, RPL27, RPL12, RPL24, NCF1, RPL6, RPL13A, RPL39, RPL31, RPS17, RPS14, RPS3, RPS19, RPL19, RPL13, RPL35A, TMED2, RPS9, RPL5, RPL10A, RPS27A, RPL30, RPLP0, SRP14, RPL11, RPL15, RPS8, RPL38, RPS6, ATG4C, RPS13, RPL23, RPL7A, RPL37, RPS10, RPSA, SRP9, RPL17, SRPRB, RPS18, RPS29, RPS15, RABGEF1, RPS16, ATG3, ATG4B, RPL22, RPS27, RPL37A, RPL3, RPS26, RPS15A, RPL26, RPL23A, RPL14"	2.130422708
VIRAL TRANSCRIPTION%GOBP%GO:0019083	7.33E-08	3.26E-06	0.704975715	-0.565041275	-2.124481739	98	"RPS4X, RPL26L1, RPL27A, NUP214, RPS2, RPL27, RPL12, RPL24, RPL6, RPL13A, RPL39, RPL31, RPS17, RPS14, RPS3, RPS19, RPL19, RPL13, RPL35A, RPS9, RPL5, RPL10A, RPS27A, RPL30, RPLP0, RAE1, RPL11, RPL15, RPS8, RPL38, RPS6, RPS13, RPL23, RPL7A, RPL37, RPS10, RPSA, RPL17, RPS18, RPS29, RPS15, RPS16, RPL22, RPS27, RPL37A, RPL3, RPS26, RPS15A, RPL26, RPL23A, RPL14, RPL4, NUP37, RPL8"	2.124481739
NONSENSE MEDIATED DECAY (NMD) ENHANCED BY THE EXON JUNCTION COMPLEX (EJC)%REACTOME%R-HSA-975957.1	7.80E-08	3.27E-06	0.704975715	-0.568286548	-2.120492563	93	"RPS4X, RPL26L1, RPL27A, RPS2, RPL27, RPL12, RPL24, RPL6, RPL13A, RPL39, RPL31, RPS17, RPS14, RPS3, RPS19, RPL19, RPL13, RPL35A, RPS9, RPL5, RPL10A, RPS27A, RPL30, RPLP0, RPL11, RPL15, RPS8, RPL38, RPS6, RPS13, RPL23, RPL7A, RPL37, RPS10, RPSA, RPL17, RPS18, RPS29, SMG1, RPS15, RNPS1, RPS16, RPL22, RPS27, RPL37A, RPL3, RPS26, RPS15A, RPL26, RPL23A, RPL14, RPL4, RPL8"	2.120492563
NONSENSE-MEDIATED DECAY (NMD)%REACTOME%R-HSA-927802.1	7.80E-08	3.27E-06	0.704975715	-0.568286548	-2.120492563	93	"RPS4X, RPL26L1, RPL27A, RPS2, RPL27, RPL12, RPL24, RPL6, RPL13A, RPL39, RPL31, RPS17, RPS14, RPS3, RPS19, RPL19, RPL13, RPL35A, RPS9, RPL5, RPL10A, RPS27A, RPL30, RPLP0, RPL11, RPL15, RPS8, RPL38, RPS6, RPS13, RPL23, RPL7A, RPL37, RPS10, RPSA, RPL17, RPS18, RPS29, SMG1, RPS15, RNPS1, RPS16, RPL22, RPS27, RPL37A, RPL3, RPS26, RPS15A, RPL26, RPL23A, RPL14, RPL4, RPL8"	2.120492563
"NUCLEAR-TRANSCRIBED MRNA CATABOLIC PROCESS, NONSENSE-MEDIATED DECAY%GOBP%GO:0000184"	6.46E-08	3.07E-06	0.704975715	-0.560717045	-2.108251992	99	"RPS4X, RPL26L1, RPL27A, RPS2, RPL27, RPL12, RPL24, RPL6, RPL13A, RPL39, RPL31, RPS17, RPS14, RPS3, RPS19, RPL19, RPL13, RPL35A, RPS9, RPL5, RPL10A, RPS27A, RPL30, RPLP0, RPL11, RPL15, RPS8, RPL38, RPS6, RPS13, RPL23, RPL7A, RPL37, RPS10, RPSA, RPL17, RPS18, RPS29, SMG1, RPS15, PNRC2, RNPS1, EIF3E, RPS16, RPL22, RPS27, RPL37A, RPL3, RPS26, RPS15A, RPL26, RPL23A, RPL14"	2.108251992
MAJOR PATHWAY OF RRNA PROCESSING IN THE NUCLEOLUS%REACTOME DATABASE ID RELEASE 56%6791226	7.84E-09	5.20E-07	0.747739663	-0.53464228	-2.100160529	131	"RPS4X, RPL26L1, RPL27A, RPS2, RPL27, RPL12, RPL24, RPL6, RPL13A, RPL39, RPL31, RPS17, RPS14, RPS3, RPS19, RPL19, RPL13, RPL35A, RPS9, RPL5, RPL10A, RPS27A, RPL30, RPLP0, RPS27L, MPHOSPH6, RPP21, RPL11, RPL15, RPS8, RPL38, RPS6, RPS13, RPL23, UTP11L, EXOSC1, RPL7A, RPL37, RPS10, RPSA, EXOSC3, RPL17, CSNK1E, RPS18, RPS29, RPS15, RIOK2, EXOSC6, RPS16, RPL22, RPS27, RPL37A, RPL3, RPS26, RPS15A, CSNK1D, RPL26, RPL23A, RPL14, CIRH1A"	2.100160529
RRNA PROCESSING%REACTOME%R-HSA-72312.1	1.80E-08	9.86E-07	0.733761988	-0.519240335	-2.054129657	142	"RPS4X, RPL26L1, NOP10, RPL27A, RPS2, RPL27, RPL12, RPL24, RPL6, RPL13A, RPL39, RPL31, RPS17, RPS14, RPS3, RPS19, RPL19, RPL13, RPL35A, RPS9, RPL5, RPL10A, RPS27A, RPL30, RPLP0, RPS27L, MPHOSPH6, RPP21, RPL11, TRMT112, RPL15, RPS8, RPL38, RPS6, RPS13, RPL23, UTP11L, EXOSC1, RPL7A, RPL37, RPS10, NHP2, RPSA, EXOSC3, RPL17, CSNK1E, RPS18, RPS29, RPS15, RIOK2, EXOSC6, RPS16, KIAA0391, RPL22, RPS27, RPL37A, RPL3, RPS26, RPS15A, CSNK1D, RPL26, RPL23A, RPL14, CIRH1A"	2.054129657
INFLUENZA LIFE CYCLE%REACTOME DATABASE ID RELEASE 56%168255	1.84E-07	6.72E-06	0.690132459	-0.533925435	-2.050690422	113	"RPS4X, RPL26L1, RPL27A, NUP214, RPS2, RPL27, RPL12, RPL24, RPL6, RPL13A, RPL39, RPL31, RPS17, RPS14, RPS3, RPS19, GTF2F2, RPL19, RPL13, RPL35A, POLR2F, RPS9, POLR2G, RPL5, RPL10A, RPS27A, RPL30, RPLP0, RAE1, RPL11, RPL15, RPS8, RPL38, RPS6, RPS13, RPL23, RPL7A, RPL37, POLR2C, CLTA, RPS10, RPSA, RPL17, RPS18, RPS29, RPS15, POLR2H, RPS16, RPL22, RPS27, RPL37A, RPL3, RPS26, RPS15A, RPL26, RPL23A, RPL14, RAN, RPL4, NUP37, RPL8"	2.050690422
RRNA PROCESSING%GOBP%GO:0006364	1.37E-08	8.15E-07	0.747739663	-0.504456068	-2.02892168	166	"RPS4X, RPL26L1, NOP10, RPL27A, MRPL1, RPS2, RPL27, RPL12, RPL24, RPL6, RPL13A, RPL39, RPL31, RPS17, RPS14, RPS3, RPS19, RPL19, RPL13, RPL35A, NSA2, RPS9, RPL5, RPL10A, RPS27A, RPL30, RPLP0, RPS27L, MPHOSPH6, RPP21, RPL11, TRMT112, RPL15, RPS8, RPL38, RPS6, RRP15, RPS13, RPL23, UTP11L, EXOSC1, RPL7A, RPL37, LSM6, RPS10, NHP2, RPSA, RPF1, EXOSC3, RPL17, NGDN, CSNK1E, SBDS, RPS18, RPS29, RPS15, RIOK2, EXOSC6, RPS16, RPL22, RPF2, RPS27, RPL37A, RPL3, FTSJ2, RPS26, RPS15A, CSNK1D, RPL26, RPL23A, RPL14, CIRH1A, RPL4, MRPS11, RPL8, UTP14C, RPL18A"	2.02892168
VIRAL GENE EXPRESSION%GOBP%GO:0019080	3.64E-07	1.30E-05	0.67496286	-0.52874419	-2.018827612	108	"RPS4X, RPL26L1, RPL27A, NUP214, RPS2, RPL27, RPL12, RPL24, RPL6, RPL13A, RPL39, RPL31, RPS17, RPS14, RPS3, RPS19, RPL19, RPL13, RPL35A, RPS9, RPL5, RPL10A, RPS27A, RPL30, RPLP0, RAE1, RPL11, RPL15, RPS8, RPL38, RPS6, RPS13, RPL23, RPL7A, RPL37, EIF3G, RPS10, RPSA, RPL17, EIF3F, RPS18, RPS29, RPS15, RPS16, RPL22, RPS27, RPL37A, RPL3, RPS26, RPS15A, RPL26, RPL23A, RPL14, RPL4, NUP37, RPL8, EIF3L, RPL18A"	2.018827612
RRNA METABOLIC PROCESS%GOBP%GO:0016072	8.03E-09	5.20E-07	0.747739663	-0.494080471	-1.986725324	168	"RPS4X, RPL26L1, NOP10, RPL27A, MRPL1, RPS2, RPL27, RPL12, RPL24, RPL6, RPL13A, RPL39, RPL31, RPS17, RPS14, RPS3, RPS19, RPL19, RPL13, RPL35A, NSA2, RPS9, RPL5, RPL10A, RPS27A, RPL30, RPLP0, RPS27L, MPHOSPH6, RPP21, RPL11, TRMT112, RPL15, RPS8, RPL38, RPS6, RRP15, RPS13, RPL23, UTP11L, EXOSC1, RPL7A, RPL37, LSM6, RPS10, NHP2, RPSA, RPF1, EXOSC3, RPL17, NGDN, CSNK1E, SBDS, RPS18, RPS29, RPS15, RIOK2, EXOSC6, RPS16, RPL22, RPF2, RPS27, RPL37A, RPL3, FTSJ2, RPS26, RPS15A, CSNK1D, RPL26, RPL23A, RPL14, CIRH1A, RPL4, MRPS11, RPL8, UTP14C, RPL18A"	1.986725324
NUCLEAR-TRANSCRIBED MRNA CATABOLIC PROCESS%GOBP%GO:0000956	1.81E-07	6.72E-06	0.690132459	-0.499784253	-1.982953016	144	"RPS4X, RPL26L1, RPL27A, LSM3, RPS2, RPL27, RPL12, RPL24, RPL6, RPL13A, RPL39, RPL31, RPS17, RPS14, RPS3, RPS19, RPL19, RPL13, RPL35A, RPS9, POLR2G, RPL5, RPL10A, RPS27A, RPL30, RPLP0, RPL11, RPL15, RPS8, RPL38, RPS6, RPS13, RPL23, EXOSC1, RPL7A, RPL37, LSM6, RPS10, RPSA, EXOSC3, RPL17, RPS18, RPS29, SMG1, RPS15, LSM7, PNRC2, RNPS1, EXOSC6, EIF3E, RPS16, RPL22, RPS27, RPL37A, RPL3, CNOT7, RPS26, RPS15A, RPL26, RPL23A, RPL14"	1.982953016
TRANSLATIONAL INITIATION%GOBP%GO:0006413	1.86E-06	5.42E-05	0.643551836	-0.51105955	-1.966865517	111	"RPS4X, RPL26L1, RPL27A, EIF1AX, RPS2, RPL27, RPL12, RPL24, RPL6, RPL13A, RPL39, EIF2S3, RPL31, RPS17, RPS14, RPS3, RPS19, RPL19, RPL13, RPL35A, RPS9, RPL5, RPL10A, RPS27A, RPL30, RPLP0, RPL11, RPL15, CDC123, RPS8, RPL38, RPS6, RPS13, RPL23, RPL7A, RPL37, EIF3G, RPS10, RPSA, RPL17, EIF3F, RPS18, RPS29, RPS15, EIF3E, RPS16, EIF3I, EIF3M, RPL22, RPS27, RPL37A, RPL3, RPS26, RPS15A, RPL26, RPL23A, RPL14, RPL4, MTIF2, RPL8, EIF3L, RPL18A, MTIF3"	1.966865517
