GO.ID	Description	p.Val	FDR	Phenotype
3' -UTR-MEDIATED TRANSLATIONAL REGULATION%REACTOME%R-HSA-157279.1	3' -UTR-MEDIATED TRANSLATIONAL REGULATION	6.710066381701819e-9	4.850440600723986e-7	-1
L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME DATABASE ID RELEASE 56%156827	L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION	6.710066381701819e-9	4.850440600723986e-7	-1
NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME DATABASE ID RELEASE 56%975956	NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)	1.4733687364422094e-8	8.404095272666362e-7	-1
CAP-DEPENDENT TRANSLATION INITIATION%REACTOME%R-HSA-72737.1	CAP-DEPENDENT TRANSLATION INITIATION	3.7799982673333506e-9	3.5935183528115717e-7	-1
EUKARYOTIC TRANSLATION INITIATION%REACTOME%R-HSA-72613.1	EUKARYOTIC TRANSLATION INITIATION	3.7799982673333506e-9	3.5935183528115717e-7	-1
SELENOAMINO ACID METABOLISM%REACTOME%R-HSA-2408522.1	SELENOAMINO ACID METABOLISM	2.282252919839155e-8	1.2053676532187539e-6	-1
INFLUENZA VIRAL RNA TRANSCRIPTION AND REPLICATION%REACTOME%R-HSA-168273.1	INFLUENZA VIRAL RNA TRANSCRIPTION AND REPLICATION	6.802861992600261e-9	4.850440600723986e-7	-1
PROTEIN TARGETING TO MEMBRANE%GOBP%GO:0006612	PROTEIN TARGETING TO MEMBRANE	1.2711827916867255e-8	7.881333308457698e-7	-1
VIRAL TRANSCRIPTION%GOBP%GO:0019083	VIRAL TRANSCRIPTION	7.326333241365619e-8	3.264797250683554e-6	-1
NONSENSE MEDIATED DECAY (NMD) ENHANCED BY THE EXON JUNCTION COMPLEX (EJC)%REACTOME%R-HSA-975957.1	NONSENSE MEDIATED DECAY (NMD) ENHANCED BY THE EXON JUNCTION COMPLEX (EJC)	7.802655461806713e-8	3.2725254966283445e-6	-1
NONSENSE-MEDIATED DECAY (NMD)%REACTOME%R-HSA-927802.1	NONSENSE-MEDIATED DECAY (NMD)	7.802655461806713e-8	3.2725254966283445e-6	-1
NUCLEAR-TRANSCRIBED MRNA CATABOLIC PROCESS, NONSENSE-MEDIATED DECAY%GOBP%GO:0000184	NUCLEAR-TRANSCRIBED MRNA CATABOLIC PROCESS, NONSENSE-MEDIATED DECAY	6.460768966136056e-8	3.0710188485700054e-6	-1
MAJOR PATHWAY OF RRNA PROCESSING IN THE NUCLEOLUS%REACTOME DATABASE ID RELEASE 56%6791226	MAJOR PATHWAY OF RRNA PROCESSING IN THE NUCLEOLUS	7.835486596178657e-9	5.203154603451984e-7	-1
RRNA PROCESSING%REACTOME%R-HSA-72312.1	RRNA PROCESSING	1.7981525545829695e-8	9.862175164751209e-7	-1
INFLUENZA LIFE CYCLE%REACTOME DATABASE ID RELEASE 56%168255	INFLUENZA LIFE CYCLE	1.8385171676875903e-7	6.72237302851924e-6	-1
RRNA PROCESSING%GOBP%GO:0006364	RRNA PROCESSING	1.3719338516671204e-8	8.15157363532214e-7	-1
VIRAL GENE EXPRESSION%GOBP%GO:0019080	VIRAL GENE EXPRESSION	3.641929979825078e-7	1.2983480378076404e-5	-1
RRNA METABOLIC PROCESS%GOBP%GO:0016072	RRNA METABOLIC PROCESS	8.027307242352291e-9	5.203154603451984e-7	-1
NUCLEAR-TRANSCRIBED MRNA CATABOLIC PROCESS%GOBP%GO:0000956	NUCLEAR-TRANSCRIBED MRNA CATABOLIC PROCESS	1.8120169936361433e-7	6.72237302851924e-6	-1
TRANSLATIONAL INITIATION%GOBP%GO:0006413	TRANSLATIONAL INITIATION	1.8607040416638178e-6	5.415028496760417e-5	-1
RNA CATABOLIC PROCESS%GOBP%GO:0006401	RNA CATABOLIC PROCESS	7.224006969772287e-8	3.264797250683554e-6	-1
MULTI-ORGANISM METABOLIC PROCESS%GOBP%GO:0044033	MULTI-ORGANISM METABOLIC PROCESS	6.422223565865095e-6	1.7279416613063444e-4	-1
MRNA CATABOLIC PROCESS%GOBP%GO:0006402	MRNA CATABOLIC PROCESS	1.070741436245788e-6	3.180994350180195e-5	-1
INFLUENZA INFECTION%REACTOME DATABASE ID RELEASE 56%168254	INFLUENZA INFECTION	2.32146063203735e-6	6.500196499282798e-5	-1
INNATE IMMUNE RESPONSE%GOBP%GO:0045087	INNATE IMMUNE RESPONSE	8.747775779061238e-8	3.5640937888403785e-6	-1
ESTABLISHMENT OF PROTEIN LOCALIZATION TO MEMBRANE%GOBP%GO:0090150	ESTABLISHMENT OF PROTEIN LOCALIZATION TO MEMBRANE	8.323655572048146e-7	2.5803332273349253e-5	-1
RIBOSOME BIOGENESIS%GOBP%GO:0042254	RIBOSOME BIOGENESIS	4.6687352063873564e-7	1.5482828847228768e-5	-1
DNA REPLICATION%GOBP%GO:0006260	DNA REPLICATION	8.090784666763203e-5	0.001955501514373615	+1
IMMUNE RESPONSE%GOBP%GO:0006955	IMMUNE RESPONSE	4.719400123620405e-9	4.206165360176686e-7	-1
AROMATIC COMPOUND CATABOLIC PROCESS%GOBP%GO:0019439	AROMATIC COMPOUND CATABOLIC PROCESS	7.691366595602253e-7	2.4927019921201848e-5	-1
NUCLEOBASE-CONTAINING COMPOUND CATABOLIC PROCESS%GOBP%GO:0034655	NUCLEOBASE-CONTAINING COMPOUND CATABOLIC PROCESS	3.8262742947504114e-7	1.3307968644668505e-5	-1
ORGANIC CYCLIC COMPOUND CATABOLIC PROCESS%GOBP%GO:1901361	ORGANIC CYCLIC COMPOUND CATABOLIC PROCESS	8.272587555660651e-7	2.5803332273349253e-5	-1
HETEROCYCLE CATABOLIC PROCESS%GOBP%GO:0046700	HETEROCYCLE CATABOLIC PROCESS	4.3926660028805244e-7	1.4914146952637208e-5	-1
CHROMATIN REMODELING%GOBP%GO:0006338	CHROMATIN REMODELING	3.0451524361321315e-4	0.0062034105341777415	+1
CELLULAR NITROGEN COMPOUND CATABOLIC PROCESS%GOBP%GO:0044270	CELLULAR NITROGEN COMPOUND CATABOLIC PROCESS	8.564622939631679e-7	2.5985430450882498e-5	-1
IMMUNOREGULATORY INTERACTIONS BETWEEN A LYMPHOID AND A NON-LYMPHOID CELL%REACTOME%R-HSA-198933.3	IMMUNOREGULATORY INTERACTIONS BETWEEN A LYMPHOID AND A NON-LYMPHOID CELL	3.9756756541975565e-4	0.0075388086562708815	-1
CELL CHEMOTAXIS%GOBP%GO:0060326	CELL CHEMOTAXIS	9.9970950274581e-4	0.015328879042102419	-1
PROTEIN LOCALIZATION TO MEMBRANE%GOBP%GO:0072657	PROTEIN LOCALIZATION TO MEMBRANE	4.031945817281035e-6	1.1056836029697608e-4	-1
DEFENSE RESPONSE%GOBP%GO:0006952	DEFENSE RESPONSE	3.257976777901792e-8	1.6592410304599843e-6	-1
CELLULAR RESPONSE TO NUTRIENT LEVELS%GOBP%GO:0031669	CELLULAR RESPONSE TO NUTRIENT LEVELS	0.0022005155387043824	0.027286392679934345	+1
REGULATION OF IMMUNE RESPONSE%GOBP%GO:0050776	REGULATION OF IMMUNE RESPONSE	4.032651440323931e-8	1.9829520530696294e-6	-1
RIBOSOMAL SCANNING AND START CODON RECOGNITION%REACTOME DATABASE ID RELEASE 56%72702	RIBOSOMAL SCANNING AND START CODON RECOGNITION	0.0014223429906516716	0.020487485905750343	-1
DOUBLE-STRAND BREAK REPAIR%GOBP%GO:0006302	DOUBLE-STRAND BREAK REPAIR	5.623077552201821e-4	0.009688220173821368	+1
CELLULAR RESPONSE TO EXTRACELLULAR STIMULUS%GOBP%GO:0031668	CELLULAR RESPONSE TO EXTRACELLULAR STIMULUS	0.0011880662292350047	0.017833499398832806	+1
DEFENSE RESPONSE TO BACTERIUM%GOBP%GO:0042742	DEFENSE RESPONSE TO BACTERIUM	0.0018459989200423715	0.02472088099237963	-1
RESPONSE TO INTERFERON-GAMMA%GOBP%GO:0034341	RESPONSE TO INTERFERON-GAMMA	5.420796545168348e-4	0.009657632984537756	-1
COPI-MEDIATED ANTEROGRADE TRANSPORT%REACTOME DATABASE ID RELEASE 56%6807878	COPI-MEDIATED ANTEROGRADE TRANSPORT	0.002735206204424883	0.033054271589066805	+1
REGULATION OF LYMPHOCYTE PROLIFERATION%GOBP%GO:0050670	REGULATION OF LYMPHOCYTE PROLIFERATION	0.002002899484426042	0.025501202364210145	-1
REGULATION OF MONONUCLEAR CELL PROLIFERATION%GOBP%GO:0032944	REGULATION OF MONONUCLEAR CELL PROLIFERATION	0.002002899484426042	0.025501202364210145	-1
REGULATION OF LEUKOCYTE PROLIFERATION%GOBP%GO:0070663	REGULATION OF LEUKOCYTE PROLIFERATION	0.0017587691362145799	0.024115430656172988	-1
POSITIVE REGULATION OF IMMUNE RESPONSE%GOBP%GO:0050778	POSITIVE REGULATION OF IMMUNE RESPONSE	2.3247547087196542e-6	6.500196499282798e-5	-1
PARKINSON DISEASE%PANTHER PATHWAY%P00049	PARKINSON DISEASE	0.0017091956818525245	0.023807533150787617	-1
NCRNA PROCESSING%GOBP%GO:0034470	NCRNA PROCESSING	3.39723395100011e-5	8.650813596653851e-4	-1
ACTIVATION OF THE MRNA UPON BINDING OF THE CAP-BINDING COMPLEX AND EIFS, AND SUBSEQUENT BINDING TO 43S%REACTOME DATABASE ID RELEASE 56%72662	ACTIVATION OF THE MRNA UPON BINDING OF THE CAP-BINDING COMPLEX AND EIFS, AND SUBSEQUENT BINDING TO 43S	0.0025646956727317337	0.03125859854115771	-1
TRANSLATION INITIATION COMPLEX FORMATION%REACTOME DATABASE ID RELEASE 56%72649	TRANSLATION INITIATION COMPLEX FORMATION	0.0025646956727317337	0.03125859854115771	-1
INTRA-GOLGI AND RETROGRADE GOLGI-TO-ER TRAFFIC%REACTOME DATABASE ID RELEASE 56%6811442	INTRA-GOLGI AND RETROGRADE GOLGI-TO-ER TRAFFIC	3.863622303553956e-4	0.0075388086562708815	+1
VIRAL LIFE CYCLE%GOBP%GO:0019058	VIRAL LIFE CYCLE	1.4091273682869027e-4	0.0032409929470598765	-1
SENESCENCE-ASSOCIATED SECRETORY PHENOTYPE (SASP)%REACTOME%R-HSA-2559582.1	SENESCENCE-ASSOCIATED SECRETORY PHENOTYPE (SASP)	0.003186672315531684	0.03755532828056348	-1
PROTEIN TARGETING%GOBP%GO:0006605	PROTEIN TARGETING	3.8532320670654435e-5	9.639840223921619e-4	-1
ACTIVATION OF IMMUNE RESPONSE%GOBP%GO:0002253	ACTIVATION OF IMMUNE RESPONSE	4.636872820453878e-5	0.0011400311451667637	-1
REGULATION OF LYMPHOCYTE ACTIVATION%GOBP%GO:0051249	REGULATION OF LYMPHOCYTE ACTIVATION	4.018123745420249e-4	0.0075388086562708815	-1
TOLL-LIKE RECEPTORS CASCADES%REACTOME DATABASE ID RELEASE 56%168898	TOLL-LIKE RECEPTORS CASCADES	0.0013649458357205223	0.019861354711606785	-1
RESPONSE TO NUTRIENT LEVELS%GOBP%GO:0031667	RESPONSE TO NUTRIENT LEVELS	0.004068482156569744	0.043977205808796306	+1
RIBONUCLEOPROTEIN COMPLEX BIOGENESIS%GOBP%GO:0022613	RIBONUCLEOPROTEIN COMPLEX BIOGENESIS	9.260180577016164e-5	0.002200836250470842	-1
ESTABLISHMENT OF PROTEIN LOCALIZATION TO ORGANELLE%GOBP%GO:0072594	ESTABLISHMENT OF PROTEIN LOCALIZATION TO ORGANELLE	1.8788971677239293e-4	0.004122011324883574	-1
ASSEMBLY OF THE PRIMARY CILIUM%REACTOME%R-HSA-5617833.2	ASSEMBLY OF THE PRIMARY CILIUM	0.004374608951947508	0.04589903101122063	+1
TRANSLATIONAL ELONGATION%GOBP%GO:0006414	TRANSLATIONAL ELONGATION	0.0020746338454415594	0.025951121610523365	-1
IMMUNE RESPONSE-REGULATING SIGNALING PATHWAY%GOBP%GO:0002764	IMMUNE RESPONSE-REGULATING SIGNALING PATHWAY	1.6221921510512576e-4	0.0036718190593636405	-1
IMMUNE RESPONSE-ACTIVATING SIGNAL TRANSDUCTION%GOBP%GO:0002757	IMMUNE RESPONSE-ACTIVATING SIGNAL TRANSDUCTION	1.7960196866437318e-4	0.004001756364303065	-1
POSITIVE REGULATION OF IMMUNE SYSTEM PROCESS%GOBP%GO:0002684	POSITIVE REGULATION OF IMMUNE SYSTEM PROCESS	7.625223910508845e-6	2.0136239437751135e-4	-1
REGULATION OF IMMUNE SYSTEM PROCESS%GOBP%GO:0002682	REGULATION OF IMMUNE SYSTEM PROCESS	1.614819730599062e-7	6.22360252928179e-6	-1
REGULATION OF LEUKOCYTE ACTIVATION%GOBP%GO:0002694	REGULATION OF LEUKOCYTE ACTIVATION	4.220763307070894e-4	0.007618744906181133	-1
RESPONSE TO BACTERIUM%GOBP%GO:0009617	RESPONSE TO BACTERIUM	0.0017050206736477507	0.023807533150787617	-1
REGULATION OF CELL ACTIVATION%GOBP%GO:0050865	REGULATION OF CELL ACTIVATION	8.035484548035522e-4	0.013021137460793924	-1
RESPONSE TO EXTRACELLULAR STIMULUS%GOBP%GO:0009991	RESPONSE TO EXTRACELLULAR STIMULUS	0.004354633568605283	0.04589903101122063	+1
IMMUNE SYSTEM PROCESS%GOBP%GO:0002376	IMMUNE SYSTEM PROCESS	9.300461053972384e-8	3.684015961934617e-6	-1
CELLULAR AMINO ACID METABOLIC PROCESS%GOBP%GO:0006520	CELLULAR AMINO ACID METABOLIC PROCESS	0.0012512001834455604	0.01858553605826426	+1
VIRAL PROCESS%GOBP%GO:0016032	VIRAL PROCESS	5.777384706748119e-4	0.009807798323598592	-1
REGULATION OF T CELL ACTIVATION%GOBP%GO:0050863	REGULATION OF T CELL ACTIVATION	0.0033356873202045425	0.03836040418235224	-1
TRANSLATION%GOBP%GO:0006412	TRANSLATION	3.141035769262826e-4	0.006308615502772943	-1
MICROTUBULE-BASED PROCESS%GOBP%GO:0007017	MICROTUBULE-BASED PROCESS	9.553712615862999e-4	0.014808254554587648	+1
POSITIVE REGULATION OF LEUKOCYTE ACTIVATION%GOBP%GO:0002696	POSITIVE REGULATION OF LEUKOCYTE ACTIVATION	0.004035097496401104	0.043977205808796306	-1
POSITIVE REGULATION OF INNATE IMMUNE RESPONSE%GOBP%GO:0045089	POSITIVE REGULATION OF INNATE IMMUNE RESPONSE	0.0017196184533878854	0.023807533150787617	-1
CELL ACTIVATION%GOBP%GO:0001775	CELL ACTIVATION	9.455511993732322e-4	0.014808254554587648	-1
AMINO ACID AND DERIVATIVE METABOLISM%REACTOME%R-HSA-71291.3	AMINO ACID AND DERIVATIVE METABOLISM	7.239846797741496e-4	0.011866691417907325	-1
RESPONSE TO EXTERNAL BIOTIC STIMULUS%GOBP%GO:0043207	RESPONSE TO EXTERNAL BIOTIC STIMULUS	4.1236120279742553e-4	0.0075388086562708815	-1
RESPONSE TO OTHER ORGANISM%GOBP%GO:0051707	RESPONSE TO OTHER ORGANISM	4.1236120279742553e-4	0.0075388086562708815	-1
MULTI-ORGANISM CELLULAR PROCESS%GOBP%GO:0044764	MULTI-ORGANISM CELLULAR PROCESS	5.974272110807014e-4	0.010022720035306826	-1
POSITIVE REGULATION OF CELL ACTIVATION%GOBP%GO:0050867	POSITIVE REGULATION OF CELL ACTIVATION	0.0028191084158899486	0.03378192101730308	-1
REGULATION OF LEUKOCYTE CELL-CELL ADHESION%GOBP%GO:1903037	REGULATION OF LEUKOCYTE CELL-CELL ADHESION	0.0028550378245188555	0.0339273661480324	-1
RESPONSE TO BIOTIC STIMULUS%GOBP%GO:0009607	RESPONSE TO BIOTIC STIMULUS	2.741602467114037e-4	0.005665978432035677	-1
PEPTIDE BIOSYNTHETIC PROCESS%GOBP%GO:0043043	PEPTIDE BIOSYNTHETIC PROCESS	4.070166465524761e-4	0.0075388086562708815	-1
PEPTIDE METABOLIC PROCESS%GOBP%GO:0006518	PEPTIDE METABOLIC PROCESS	2.262529012801e-4	0.004815472197394368	-1
IMMUNE EFFECTOR PROCESS%GOBP%GO:0002252	IMMUNE EFFECTOR PROCESS	0.0020733881211207235	0.025951121610523365	-1
PROTEIN LOCALIZATION TO ORGANELLE%GOBP%GO:0033365	PROTEIN LOCALIZATION TO ORGANELLE	6.469930776125144e-4	0.010728048007854018	-1
INFECTIOUS DISEASE%REACTOME%R-HSA-5663205.1	INFECTIOUS DISEASE	0.0010146165251280854	0.015391948562049465	-1
RNA BIOSYNTHETIC PROCESS%GOBP%GO:0032774	RNA BIOSYNTHETIC PROCESS	2.48971857490718e-4	0.0052210863056141735	-1
NCRNA METABOLIC PROCESS%GOBP%GO:0034660	NCRNA METABOLIC PROCESS	5.639006132027865e-4	0.009688220173821368	-1
INTERSPECIES INTERACTION BETWEEN ORGANISMS%GOBP%GO:0044419	INTERSPECIES INTERACTION BETWEEN ORGANISMS	0.0019949521935770384	0.025501202364210145	-1
SYMBIOSIS, ENCOMPASSING MUTUALISM THROUGH PARASITISM%GOBP%GO:0044403	SYMBIOSIS, ENCOMPASSING MUTUALISM THROUGH PARASITISM	0.0019949521935770384	0.025501202364210145	-1
DEFENSE RESPONSE TO OTHER ORGANISM%GOBP%GO:0098542	DEFENSE RESPONSE TO OTHER ORGANISM	0.004377467193215993	0.04589903101122063	-1
DNA METABOLIC PROCESS%GOBP%GO:0006259	DNA METABOLIC PROCESS	8.584139034590657e-4	0.013753912655422782	+1
CELL SURFACE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007166	CELL SURFACE RECEPTOR SIGNALING PATHWAY	8.383165893105916e-6	2.173526284285279e-4	-1
POSITIVE REGULATION OF DEFENSE RESPONSE%GOBP%GO:0031349	POSITIVE REGULATION OF DEFENSE RESPONSE	0.001854932865487111	0.02472088099237963	-1
CELLULAR AMIDE METABOLIC PROCESS%GOBP%GO:0043603	CELLULAR AMIDE METABOLIC PROCESS	2.1234525491542887e-4	0.004587944447112145	-1
AMIDE BIOSYNTHETIC PROCESS%GOBP%GO:0043604	AMIDE BIOSYNTHETIC PROCESS	0.0012903657883992642	0.01896970736347784	-1
ORGANELLE FISSION%GOBP%GO:0048285	ORGANELLE FISSION	0.0045057633826763276	0.04689940572041199	+1
CELLULAR RESPONSE TO CYTOKINE STIMULUS%GOBP%GO:0071345	CELLULAR RESPONSE TO CYTOKINE STIMULUS	0.004111742347621412	0.04408529765194086	-1
REGULATION OF INNATE IMMUNE RESPONSE%GOBP%GO:0045088	REGULATION OF INNATE IMMUNE RESPONSE	0.004070821295063894	0.043977205808796306	-1
IMMUNE RESPONSE-REGULATING CELL SURFACE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0002768	IMMUNE RESPONSE-REGULATING CELL SURFACE RECEPTOR SIGNALING PATHWAY	0.0037523460578764234	0.042806763828254234	-1
METABOLISM OF PROTEINS%REACTOME%R-HSA-392499.2	METABOLISM OF PROTEINS	1.1650414976963994e-4	0.0027235232388771566	-1
CELL ADHESION%GOBP%GO:0007155	CELL ADHESION	0.004688371564450383	0.0484465061659873	-1
TRANSMEMBRANE TRANSPORT OF SMALL MOLECULES%REACTOME DATABASE ID RELEASE 56%382551	TRANSMEMBRANE TRANSPORT OF SMALL MOLECULES	0.003897932820793776	0.04342540783165566	+1
CELL CYCLE%GOBP%GO:0007049	CELL CYCLE	3.8285765333681364e-4	0.0075388086562708815	+1
MEMBRANE ORGANIZATION%GOBP%GO:0061024	MEMBRANE ORGANIZATION	0.0014591323618831505	0.020807227480453726	-1
MULTI-ORGANISM PROCESS%GOBP%GO:0051704	MULTI-ORGANISM PROCESS	5.485752256294238e-4	0.009657632984537756	-1
MITOTIC CELL CYCLE%GOBP%GO:0000278	MITOTIC CELL CYCLE	0.0019322175880488435	0.025501202364210145	+1
CELL CYCLE PROCESS%GOBP%GO:0022402	CELL CYCLE PROCESS	8.942765961424521e-4	0.014169315845545963	+1
MITOTIC CELL CYCLE PROCESS%GOBP%GO:1903047	MITOTIC CELL CYCLE PROCESS	0.0032378312130017153	0.03784546975197087	+1
INTRACELLULAR PROTEIN TRANSPORT%GOBP%GO:0006886	INTRACELLULAR PROTEIN TRANSPORT	0.003302698957408349	0.038289826937108175	-1
RESPONSE TO CYTOKINE%GOBP%GO:0034097	RESPONSE TO CYTOKINE	0.003826202358359845	0.043302893357310634	-1
NEGATIVE REGULATION OF MOLECULAR FUNCTION%GOBP%GO:0044092	NEGATIVE REGULATION OF MOLECULAR FUNCTION	0.0038647908552717778	0.04339521070565004	-1
SINGLE-ORGANISM CELLULAR LOCALIZATION%GOBP%GO:1902580	SINGLE-ORGANISM CELLULAR LOCALIZATION	0.003976005966512129	0.04395181789338214	-1
POSITIVE REGULATION OF RESPONSE TO STIMULUS%GOBP%GO:0048584	POSITIVE REGULATION OF RESPONSE TO STIMULUS	0.001811823764922775	0.02460629227409407	-1
