GO.ID	Description	p.Val	FDR	Phenotype
ORC1 REMOVAL FROM CHROMATIN%REACTOME%R-HSA-68949.1	ORC1 REMOVAL FROM CHROMATIN	1.2308287667038497e-4	9.385892092618662e-4	-1
REMOVAL OF LICENSING FACTORS FROM ORIGINS%REACTOME%R-HSA-69300.1	REMOVAL OF LICENSING FACTORS FROM ORIGINS	1.2308287667038497e-4	9.385892092618662e-4	-1
SWITCHING OF ORIGINS TO A POST-REPLICATIVE STATE%REACTOME%R-HSA-69052.1	SWITCHING OF ORIGINS TO A POST-REPLICATIVE STATE	1.2308287667038497e-4	9.385892092618662e-4	-1
POSITIVE REGULATION OF CELL ACTIVATION%GOBP%GO:0050867	POSITIVE REGULATION OF CELL ACTIVATION	4.009361004017736e-6	6.282800870032188e-5	-1
G1 S DNA DAMAGE CHECKPOINTS%REACTOME DATABASE ID RELEASE 56%69615	G1 S DNA DAMAGE CHECKPOINTS	8.586553886821722e-5	7.037026346326308e-4	-1
P53-DEPENDENT G1 DNA DAMAGE RESPONSE%REACTOME%R-HSA-69563.2	P53-DEPENDENT G1 DNA DAMAGE RESPONSE	8.586553886821722e-5	7.037026346326308e-4	-1
P53-DEPENDENT G1 S DNA DAMAGE CHECKPOINT%REACTOME DATABASE ID RELEASE 56%69580	P53-DEPENDENT G1 S DNA DAMAGE CHECKPOINT	8.586553886821722e-5	7.037026346326308e-4	-1
MRNA SPLICING, VIA SPLICEOSOME%GOBP%GO:0000398	MRNA SPLICING, VIA SPLICEOSOME	3.6305225220872446e-7	9.587268734252612e-6	-1
RNA SPLICING, VIA TRANSESTERIFICATION REACTIONS WITH BULGED ADENOSINE AS NUCLEOPHILE%GOBP%GO:0000377	RNA SPLICING, VIA TRANSESTERIFICATION REACTIONS WITH BULGED ADENOSINE AS NUCLEOPHILE	3.6305225220872446e-7	9.587268734252612e-6	-1
ADAPTIVE IMMUNE SYSTEM%REACTOME DATABASE ID RELEASE 56%1280218	ADAPTIVE IMMUNE SYSTEM	3.867947331127919e-12	4.5964107451570106e-10	-1
RESPONSE TO CYTOKINE%GOBP%GO:0034097	RESPONSE TO CYTOKINE	8.987620250130844e-10	5.572324555081123e-8	-1
INTERFERON GAMMA SIGNALING%REACTOME DATABASE ID RELEASE 56%877300	INTERFERON GAMMA SIGNALING	1.9237233426311993e-4	0.0013381607251668733	-1
REGULATION OF IMMUNE SYSTEM PROCESS%GOBP%GO:0002682	REGULATION OF IMMUNE SYSTEM PROCESS	4.960106703324642e-16	1.6193173343141032e-13	-1
POSITIVE REGULATION OF LEUKOCYTE ACTIVATION%GOBP%GO:0002696	POSITIVE REGULATION OF LEUKOCYTE ACTIVATION	3.320705429151006e-6	5.5061929557782954e-5	-1
REGULATION OF RAS BY GAPS%REACTOME DATABASE ID RELEASE 56%5658442	REGULATION OF RAS BY GAPS	1.2457781039512648e-4	9.44935944805587e-4	-1
REGULATION OF T CELL ACTIVATION%GOBP%GO:0050863	REGULATION OF T CELL ACTIVATION	3.958609598903587e-6	6.27219698670724e-5	-1
IMMUNE SYSTEM%REACTOME DATABASE ID RELEASE 56%168256	IMMUNE SYSTEM	2.0325821493339815e-19	9.661540483167525e-17	-1
REGULATION OF LYMPHOCYTE ACTIVATION%GOBP%GO:0051249	REGULATION OF LYMPHOCYTE ACTIVATION	1.6404088794617417e-6	3.341747231589205e-5	-1
BCR SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BCR SIGNALING PATHWAY	BCR SIGNALING PATHWAY	1.3064174626279686e-4	9.652597418173488e-4	-1
ANTIVIRAL MECHANISM BY IFN-STIMULATED GENES%REACTOME DATABASE ID RELEASE 56%1169410	ANTIVIRAL MECHANISM BY IFN-STIMULATED GENES	1.4427360115004253e-4	0.0010251362347856545	-1
ISG15 ANTIVIRAL MECHANISM%REACTOME DATABASE ID RELEASE 56%1169408	ISG15 ANTIVIRAL MECHANISM	1.4427360115004253e-4	0.0010251362347856545	-1
REGULATION OF CELL ACTIVATION%GOBP%GO:0050865	REGULATION OF CELL ACTIVATION	1.7080632126845285e-7	5.635934110095863e-6	-1
POSITIVE REGULATION OF INNATE IMMUNE RESPONSE%GOBP%GO:0045089	POSITIVE REGULATION OF INNATE IMMUNE RESPONSE	1.0491104200530147e-6	2.374653109516824e-5	-1
RNA SPLICING%GOBP%GO:0008380	RNA SPLICING	2.7007604955830563e-7	8.005699651073695e-6	-1
NUCLEOCYTOPLASMIC TRANSPORT%GOBP%GO:0006913	NUCLEOCYTOPLASMIC TRANSPORT	3.7715161239377146e-6	6.042901115432787e-5	-1
APC C-MEDIATED DEGRADATION OF CELL CYCLE PROTEINS%REACTOME%R-HSA-174143.1	APC C-MEDIATED DEGRADATION OF CELL CYCLE PROTEINS	9.023198582015138e-5	7.22869729098516e-4	-1
REGULATION OF MITOTIC CELL CYCLE%REACTOME%R-HSA-453276.1	REGULATION OF MITOTIC CELL CYCLE	9.023198582015138e-5	7.22869729098516e-4	-1
FC RECEPTOR SIGNALING PATHWAY%GOBP%GO:0038093	FC RECEPTOR SIGNALING PATHWAY	5.7018090950301415e-6	8.050276999517803e-5	-1
REGULATION OF LEUKOCYTE CELL-CELL ADHESION%GOBP%GO:1903037	REGULATION OF LEUKOCYTE CELL-CELL ADHESION	3.5882310035017054e-6	5.814565239765263e-5	-1
MHC CLASS II ANTIGEN PRESENTATION%REACTOME DATABASE ID RELEASE 56%2132295	MHC CLASS II ANTIGEN PRESENTATION	8.248525906779729e-5	6.90696062973903e-4	-1
ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN VIA MHC CLASS II%GOBP%GO:0002495	ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN VIA MHC CLASS II	3.18010344860157e-4	0.001980274025199056	-1
ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE OR POLYSACCHARIDE ANTIGEN VIA MHC CLASS II%GOBP%GO:0002504	ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE OR POLYSACCHARIDE ANTIGEN VIA MHC CLASS II	3.18010344860157e-4	0.001980274025199056	-1
REGULATION OF DNA REPLICATION%REACTOME DATABASE ID RELEASE 56%69304	REGULATION OF DNA REPLICATION	2.534409817863414e-4	0.0016578295414097378	-1
GLUCOSE METABOLISM%REACTOME DATABASE ID RELEASE 56%70326	GLUCOSE METABOLISM	3.8355143539554106e-4	0.0022601006069175268	-1
HIV INFECTION%REACTOME DATABASE ID RELEASE 56%162906	HIV INFECTION	1.4882555723968584e-6	3.093802294520359e-5	-1
ACTIVATION OF INNATE IMMUNE RESPONSE%GOBP%GO:0002218	ACTIVATION OF INNATE IMMUNE RESPONSE	4.588072033516766e-6	6.960202893398839e-5	-1
G2 M TRANSITION%REACTOME%R-HSA-69275.2	G2 M TRANSITION	3.71748070185651e-5	3.6062091706444785e-4	-1
INNATE IMMUNE RESPONSE ACTIVATING CELL SURFACE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0002220	INNATE IMMUNE RESPONSE ACTIVATING CELL SURFACE RECEPTOR SIGNALING PATHWAY	1.1505056130310666e-4	9.014401121880774e-4	-1
POSITIVE REGULATION OF CELLULAR CATABOLIC PROCESS%GOBP%GO:0031331	POSITIVE REGULATION OF CELLULAR CATABOLIC PROCESS	9.201856203271984e-7	2.1511224501419426e-5	-1
REGULATION OF PROTEIN UBIQUITINATION INVOLVED IN UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS%GOBP%GO:2000058	REGULATION OF PROTEIN UBIQUITINATION INVOLVED IN UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS	2.71160925559617e-4	0.0017496628047421442	-1
ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS II%GOBP%GO:0019886	ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS II	1.30379413438976e-4	9.652597418173488e-4	-1
METABOLISM OF POLYAMINES%REACTOME DATABASE ID RELEASE 56%351202	METABOLISM OF POLYAMINES	2.1481603021643008e-4	0.0014381580238902784	-1
RNA SPLICING, VIA TRANSESTERIFICATION REACTIONS%GOBP%GO:0000375	RNA SPLICING, VIA TRANSESTERIFICATION REACTIONS	2.0383849852016187e-6	3.875649318530011e-5	-1
REGULATION OF APC C ACTIVATORS BETWEEN G1 S AND EARLY ANAPHASE%REACTOME DATABASE ID RELEASE 56%176408	REGULATION OF APC C ACTIVATORS BETWEEN G1 S AND EARLY ANAPHASE	1.3491423718907657e-4	9.815699093450162e-4	-1
INNATE IMMUNE RESPONSE-ACTIVATING SIGNAL TRANSDUCTION%GOBP%GO:0002758	INNATE IMMUNE RESPONSE-ACTIVATING SIGNAL TRANSDUCTION	1.3528982924830406e-5	1.6076941375673464e-4	-1
C-MYB TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%C-MYB TRANSCRIPTION FACTOR NETWORK	C-MYB TRANSCRIPTION FACTOR NETWORK	3.591908708952964e-4	0.002149639806643789	-1
REGULATION OF HOMOTYPIC CELL-CELL ADHESION%GOBP%GO:0034110	REGULATION OF HOMOTYPIC CELL-CELL ADHESION	7.795925817599688e-6	1.0389710482146875e-4	-1
POSITIVE REGULATION OF LYMPHOCYTE ACTIVATION%GOBP%GO:0051251	POSITIVE REGULATION OF LYMPHOCYTE ACTIVATION	3.2253747247834686e-5	3.2852745411008754e-4	-1
POSITIVE REGULATION OF LEUKOCYTE CELL-CELL ADHESION%GOBP%GO:1903039	POSITIVE REGULATION OF LEUKOCYTE CELL-CELL ADHESION	1.1039891598300591e-4	8.697726750926322e-4	-1
NEGATIVE REGULATION OF LIGASE ACTIVITY%GOBP%GO:0051352	NEGATIVE REGULATION OF LIGASE ACTIVITY	6.29965042054637e-4	0.0033222482475224174	-1
REGULATION OF CELL CYCLE PHASE TRANSITION%GOBP%GO:1901987	REGULATION OF CELL CYCLE PHASE TRANSITION	1.4970011102517867e-6	3.093802294520359e-5	-1
FC RECEPTOR MEDIATED STIMULATORY SIGNALING PATHWAY%GOBP%GO:0002431	FC RECEPTOR MEDIATED STIMULATORY SIGNALING PATHWAY	7.907180982668175e-4	0.0039563649408016896	-1
FC-GAMMA RECEPTOR SIGNALING PATHWAY%GOBP%GO:0038094	FC-GAMMA RECEPTOR SIGNALING PATHWAY	7.907180982668175e-4	0.0039563649408016896	-1
FC-EPSILON RECEPTOR SIGNALING PATHWAY%GOBP%GO:0038095	FC-EPSILON RECEPTOR SIGNALING PATHWAY	3.6902818195901e-5	3.604343749818823e-4	-1
FC-GAMMA RECEPTOR SIGNALING PATHWAY INVOLVED IN PHAGOCYTOSIS%GOBP%GO:0038096	FC-GAMMA RECEPTOR SIGNALING PATHWAY INVOLVED IN PHAGOCYTOSIS	6.796623731788539e-4	0.0035243583423747115	-1
IMMUNE RESPONSE-REGULATING CELL SURFACE RECEPTOR SIGNALING PATHWAY INVOLVED IN PHAGOCYTOSIS%GOBP%GO:0002433	IMMUNE RESPONSE-REGULATING CELL SURFACE RECEPTOR SIGNALING PATHWAY INVOLVED IN PHAGOCYTOSIS	6.796623731788539e-4	0.0035243583423747115	-1
REGULATION OF MRNA STABILITY BY PROTEINS THAT BIND AU-RICH ELEMENTS%REACTOME DATABASE ID RELEASE 56%450531	REGULATION OF MRNA STABILITY BY PROTEINS THAT BIND AU-RICH ELEMENTS	2.7728571032585066e-4	0.0017811235266876712	-1
POSITIVE REGULATION OF CYTOKINE PRODUCTION%GOBP%GO:0001819	POSITIVE REGULATION OF CYTOKINE PRODUCTION	5.963149905259299e-6	8.336717416568393e-5	-1
REGULATION OF CYTOKINE PRODUCTION%GOBP%GO:0001817	REGULATION OF CYTOKINE PRODUCTION	2.5362810526493945e-7	7.695184640591567e-6	-1
ACTIVATION OF NF-KAPPAB IN B CELLS%REACTOME DATABASE ID RELEASE 56%1169091	ACTIVATION OF NF-KAPPAB IN B CELLS	2.9612575024847706e-4	0.0018851576779211085	-1
STIMULATORY C-TYPE LECTIN RECEPTOR SIGNALING PATHWAY%GOBP%GO:0002223	STIMULATORY C-TYPE LECTIN RECEPTOR SIGNALING PATHWAY	8.282540446601501e-5	6.90696062973903e-4	-1
DNA REPLICATION PRE-INITIATION%REACTOME%R-HSA-69002.1	DNA REPLICATION PRE-INITIATION	3.413349685151939e-4	0.002071249638734751	-1
M G1 TRANSITION%REACTOME DATABASE ID RELEASE 56%68874	M G1 TRANSITION	3.413349685151939e-4	0.002071249638734751	-1
APC C:CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS%REACTOME%R-HSA-176409.1	APC C:CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS	3.413349685151939e-4	0.002071249638734751	-1
PROTEIN LOCALIZATION TO NUCLEUS%GOBP%GO:0034504	PROTEIN LOCALIZATION TO NUCLEUS	2.2606982914016583e-4	0.0015064279268872734	-1
APC:CDC20 MEDIATED DEGRADATION OF CELL CYCLE PROTEINS PRIOR TO SATISFATION OF THE CELL CYCLE CHECKPOINT%REACTOME%R-HSA-179419.1	APC:CDC20 MEDIATED DEGRADATION OF CELL CYCLE PROTEINS PRIOR TO SATISFATION OF THE CELL CYCLE CHECKPOINT	4.6349577904824146e-4	0.0025818163317296574	-1
CDC20:PHOSPHO-APC C MEDIATED DEGRADATION OF CYCLIN A%REACTOME%R-HSA-174184.1	CDC20:PHOSPHO-APC C MEDIATED DEGRADATION OF CYCLIN A	4.6349577904824146e-4	0.0025818163317296574	-1
REGULATION OF MITOTIC CELL CYCLE PHASE TRANSITION%GOBP%GO:1901990	REGULATION OF MITOTIC CELL CYCLE PHASE TRANSITION	4.135950218631804e-6	6.410722838879296e-5	-1
MRNA PROCESSING%GOBP%GO:0006397	MRNA PROCESSING	1.2035374751671097e-6	2.6816319368567164e-5	-1
POSITIVE REGULATION OF PROTEIN UBIQUITINATION INVOLVED IN UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS%GOBP%GO:2000060	POSITIVE REGULATION OF PROTEIN UBIQUITINATION INVOLVED IN UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS	3.0275993202593787e-4	0.0019103347923406524	-1
M PHASE%REACTOME DATABASE ID RELEASE 56%68886	M PHASE	2.213207038136414e-6	4.018914746247273e-5	-1
NEGATIVE REGULATION OF UBIQUITIN-PROTEIN TRANSFERASE ACTIVITY%GOBP%GO:0051444	NEGATIVE REGULATION OF UBIQUITIN-PROTEIN TRANSFERASE ACTIVITY	2.0293688957930393e-4	0.001396657495661306	-1
POSITIVE REGULATION OF DEFENSE RESPONSE%GOBP%GO:0031349	POSITIVE REGULATION OF DEFENSE RESPONSE	1.0333512506530767e-6	2.374653109516824e-5	-1
MITOTIC G2-G2 M PHASES%REACTOME%R-HSA-453274.1	MITOTIC G2-G2 M PHASES	7.371036704722528e-5	6.38607170288039e-4	-1
POSITIVE REGULATION OF HOMOTYPIC CELL-CELL ADHESION%GOBP%GO:0034112	POSITIVE REGULATION OF HOMOTYPIC CELL-CELL ADHESION	1.4521565177188093e-4	0.0010251362347856545	-1
ACTIVATION OF APC C AND APC C:CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS%REACTOME%R-HSA-176814.1	ACTIVATION OF APC C AND APC C:CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS	3.7825601893018375e-4	0.0022381455725910457	-1
ANAPHASE-PROMOTING COMPLEX-DEPENDENT CATABOLIC PROCESS%GOBP%GO:0031145	ANAPHASE-PROMOTING COMPLEX-DEPENDENT CATABOLIC PROCESS	6.140482346316277e-4	0.0032672865021817206	-1
CYCLIN A:CDK2-ASSOCIATED EVENTS AT S PHASE ENTRY%REACTOME DATABASE ID RELEASE 56%69656	CYCLIN A:CDK2-ASSOCIATED EVENTS AT S PHASE ENTRY	4.2271176669158813e-4	0.0024404331145838243	-1
RIBONUCLEOPROTEIN COMPLEX LOCALIZATION%GOBP%GO:0071166	RIBONUCLEOPROTEIN COMPLEX LOCALIZATION	4.990625066780348e-4	0.002737165902011068	-1
MITOTIC ANAPHASE%REACTOME DATABASE ID RELEASE 56%68882	MITOTIC ANAPHASE	3.515941488733046e-5	3.481758724259253e-4	-1
PHAGOCYTOSIS%GOBP%GO:0006909	PHAGOCYTOSIS	1.3387411936620626e-4	9.78997406236975e-4	-1
POSITIVE REGULATION OF CELL-CELL ADHESION%GOBP%GO:0022409	POSITIVE REGULATION OF CELL-CELL ADHESION	6.550698744536628e-5	5.83831025606827e-4	-1
MITOTIC METAPHASE AND ANAPHASE%REACTOME%R-HSA-2555396.1	MITOTIC METAPHASE AND ANAPHASE	3.348563024624264e-5	3.3391964147651753e-4	-1
POSITIVE REGULATION OF T CELL ACTIVATION%GOBP%GO:0050870	POSITIVE REGULATION OF T CELL ACTIVATION	1.3319368999756346e-4	9.78997406236975e-4	-1
NUCLEUS ORGANIZATION%GOBP%GO:0006997	NUCLEUS ORGANIZATION	4.011802928545874e-4	0.002335033051472006	-1
FCGAMMA RECEPTOR (FCGR) DEPENDENT PHAGOCYTOSIS%REACTOME%R-HSA-2029480.1	FCGAMMA RECEPTOR (FCGR) DEPENDENT PHAGOCYTOSIS	4.3859062996857165e-4	0.002511768025442503	-1
NEGATIVE REGULATION OF UBIQUITIN PROTEIN LIGASE ACTIVITY%GOBP%GO:1904667	NEGATIVE REGULATION OF UBIQUITIN PROTEIN LIGASE ACTIVITY	4.4323175757504267e-4	0.002528193945208043	-1
RESPONSE TO EXTERNAL BIOTIC STIMULUS%GOBP%GO:0043207	RESPONSE TO EXTERNAL BIOTIC STIMULUS	3.2335236750714335e-7	8.867316847407432e-6	-1
RESPONSE TO OTHER ORGANISM%GOBP%GO:0051707	RESPONSE TO OTHER ORGANISM	3.2335236750714335e-7	8.867316847407432e-6	-1
DEFENSE RESPONSE TO BACTERIUM%GOBP%GO:0042742	DEFENSE RESPONSE TO BACTERIUM	7.112987171576767e-4	0.0036331682516721826	-1
NON-CANONICAL WNT SIGNALING PATHWAY%GOBP%GO:0035567	NON-CANONICAL WNT SIGNALING PATHWAY	2.037200274176379e-4	0.001396657495661306	-1
DEFENSE RESPONSE TO OTHER ORGANISM%GOBP%GO:0098542	DEFENSE RESPONSE TO OTHER ORGANISM	1.7015022643049066e-5	1.895579866327185e-4	-1
